,TSNE1,TSNE2
0.0,5.5045033,-0.5711458
0.003734,3.0639825,1.0440712
0.005161,5.394181,-6.1487556
0.006055,4.174363,-3.6600792
0.006875,3.208139,-2.7426395
0.00817,3.2723556,0.44626254
0.00918,2.732308,1.7841403
0.009291,-0.061171405,2.4823766
0.009446,2.1791046,0.6520885
0.012256,3.1258192,-0.6648561
0.01265,0.20889884,2.5698187
0.012861,5.3222785,-1.1303273
0.013185,3.4797149,-0.3036428
0.01342,1.3111364,-1.5286618
0.013424,2.8119354,0.7377506
0.013638,5.657307,-1.1774186
0.013992,6.4708767,-9.497416
0.014178,4.943289,-2.4547043
0.014768,4.729854,-3.2932858
0.015438,5.1396694,-5.070492
0.015455,-0.1618613,4.191798
0.015793,-1.3860388,3.9109247
0.015891,6.809093,-8.899124
0.016063,1.5608873,1.2325648
0.016678,1.8651726,2.3175714
0.016787,5.823978,-3.4466062
0.017148,1.4008143,-1.4968271
0.017959,-0.680137,3.07226
0.018342,0.2932175,3.902702
0.018634,0.5288805,2.9547753
0.018799,3.887495,-2.7796128
0.019146,-0.86381674,3.3597124
0.019268,7.120886,-8.300192
0.019501,-3.671405,5.9385824
0.019881,4.481098,0.10680584
0.020789,7.114933,-11.017683
0.020828,4.797879,-2.8576336
0.021129,2.8012185,1.415742
0.021155,6.7072587,-10.160456
0.021268,1.4808029,1.8178285
0.02133,1.8222567,2.015077
0.021367,1.8875484,0.62192917
0.021827,-0.110923745,2.3379157
0.021948,6.590362,-8.716214
0.022172,2.9017808,1.2355705
0.022553,5.091461,-5.0625615
0.022859,4.4234705,-4.1226463
0.023394,4.67835,-1.3634849
0.023635,6.976307,-9.124764
0.024429,5.8769865,-1.9953222
0.026148,6.7338023,-10.076611
0.026395,2.5501213,2.0092883
0.02751,5.8013616,-2.4209855
0.029532,1.4265794,1.8510638
0.031367,2.816384,0.498429
0.031544,-0.3555326,3.1047158
0.031589,1.0611835,-0.7359254
0.032989,6.383507,-6.8397207
0.033109,-4.029715,6.243591
0.033838,0.5760311,3.0768797
0.034051,6.4812236,-8.599051
0.034258,-3.2875824,5.61268
0.034268,6.321659,-9.218091
0.034294,7.13292,-11.159279
0.03474,6.790632,-10.326929
0.034865,0.47785354,2.0594451
0.035398,7.143961,-8.987921
0.035409,0.002740826,2.9259348
0.035457,4.591501,1.5560586
0.035746,-3.7362144,5.993399
0.036002,6.34179,-11.317284
0.036073,7.4002075,-10.055166
0.03625,1.3425193,-0.43265006
0.037049,-1.2434981,3.7180052
0.037269,4.238408,0.42112374
0.037443,2.5185938,2.0428672
0.038244,5.392355,-6.372643
0.038469,6.069263,-8.583503
0.038477,4.5827203,-1.0761701
0.039567,7.241064,-7.729371
0.040958,6.658808,-8.058353
0.040982,-5.43689,7.74064
0.041136,1.5006135,2.0596633
0.042997,5.8802695,-8.531598
0.044127,2.53963,1.2303696
0.044244,5.7599907,-9.998731
0.045918,6.134476,-7.7976813
0.046243,3.69308,-0.63637155
0.0485,4.784213,-1.2048395
0.048512,5.762445,-1.3993025
0.048757,6.083727,-7.786922
0.049496,7.2307057,-7.2129164
0.049793,5.35006,-6.7457323
0.051676,-4.5709844,6.740804
0.053614,7.23228,-10.297034
0.054829,4.8863187,-0.16888492
0.055127,-6.2870545,7.6430416
0.05546,-4.1757007,6.383776
0.056637,7.0362067,-11.28854
0.056762,5.198664,-1.8585924
0.056865,5.960741,-8.010889
0.057274,-5.5086656,7.508259
0.057612,5.3223147,-6.6179786
0.058435,-6.3322067,7.949879
0.058924,7.454839,-9.985801
0.059513,4.8466954,-4.213084
0.059662,6.624096,-8.428068
0.0608,5.6384106,-1.12572
0.064242,5.9619064,-1.2885236
0.064795,-6.1587577,8.431892
0.064893,7.1615853,-10.184386
0.064952,7.289918,-4.7482057
0.067783,-6.8645906,8.432047
0.069101,4.616002,-0.15712665
0.069953,5.980658,-2.5885494
0.070804,-2.7995253,5.206859
0.072329,5.6996617,-7.889501
0.073719,4.6451745,0.20214722
0.076788,6.0441585,-2.0462387
0.08288,-6.235288,8.573883
0.082941,-5.278954,7.4048758
0.083688,-6.401072,8.727772
0.084824,4.9890866,-0.50692344
0.085067,-3.5374696,5.8237906
0.092712,-5.309547,6.98243
0.096381,-5.9445276,8.270491
0.098682,-4.091056,6.294266
0.101216,-7.3191953,8.837687
0.111275,-5.626724,7.895288
0.112947,-3.509988,5.798923
0.125123,-8.173263,10.326896
0.130398,-6.864725,8.416537
0.132916,-7.730787,9.290405
0.14609,-7.0205812,9.261951
0.148738,-5.6801424,7.3590217
0.152093,-6.6645107,8.18631
0.154802,-7.4581447,9.082431
0.171907,-7.423488,9.581011
0.180134,-6.843778,9.127201
0.193925,-9.05271,10.392377
0.194531,-8.685493,10.08327
0.202427,-9.097395,10.531368
0.20569,-8.246473,9.8694105
0.209987,-8.305726,10.603282
0.214202,-8.903868,10.246468
0.216079,-8.750478,11.021227
0.218772,-7.9754777,9.537782
0.224354,-9.067232,10.707755
0.22586,-7.720167,9.819023
0.233427,-9.071236,11.006122
0.257478,-8.599853,10.927818
0.268524,-8.470615,10.885472
